Nom	FreqN	SourceN	BigramN	Score_etym	ClSem_p	ClSem_h	ClSem_c	ClSem_a	Score_p	Score_h	Score_c	Score_a	SyllN	AccSyllN	AccZal	ClFlex	ClFlexZal	Genre	AllomV	AllomC	Segment	Adjectif	Context	FreqA	Radical	DPhoR	SuffDerA
россия	250468	slave	#р ро ос сс си ия я#	-2.3163420018667766	p	0	0	0	0.4964374489274031	0.2513362707303176	0.2306374832415895	0.2809328315649342	3	ad	a	II	7	f	0	0	0	российский		431267	россиj	cAlv	sk
глава	219971	slave	#г гл ла ав ва а#	1.4012582567734273	0	h	0	0	0.2478621554583933	0.4277436640793979	0.1977770088285962	0.2749981254113386	2	d	d	II	1	f	0	0	0	главный		385082	глав	cLab	n
русь	25149	slave	#р ру ус сь ь#	0.6581762333223982	p	0	0	0	0.4499391936765065	0.4715163026742988	0.3275695957402049	0.4256149168858265	1	d	a	III	8	f	0	mouil	0	русский		364436	рус	cDent	sk
известие	98769	slave	#и из зв ве ес ст ти ие е#	2.099174142470366	0	0	0	a	0.2737384430628903	0.2824725153182322	0.3547496338891185	0.3512627235018778	4	aad	a	I	7	n	0	mouil	supp	известный		263153	извест	cDent	n
москва	227173	slave	#м мо ос ск кв ва а#	1.1335544822567123	p	0	0	0	0.6926535411684656	0.2119187478423276	0.2764210850399037	0.2467592482503581	2	d	b	II	1	f	1	0	0	московский		182116	москов	cLab	sk
совет	94546	slave	#с со ов ве ет т#	0.1157388475603259	0	0	0	a	0.1597216111713286	0.3430003484763656	0.3787262427467867	0.5566161344468015	2	d	a	I	1	m	0	0	0	советский		144464	совет	cDent	sk
обычай	16679	slave	#о об бы ыч ча ай й#	1.1810981552977928	0	0	0	a	0.2830120150765848	0.3969614146444201	0.3648878378095135	0.568741911855448	3	ad	a	I	6	m	0	0	supp	обычный		141843	обыч	cAlv	n
место	539484	slave	#м ме ес ст то о#	-0.0299576699013593	0	0	c	0	0.1962484662793403	0.2152851992174564	0.3567878389130857	0.3079186872092616	2	ad	c	I	1	n	0	0	0	местный		140534	мест	cDent	n
война	157045	slave	#в во ой йн на а#	3.482608195540349	0	0	0	a	0.2817780394853448	0.3400803101534562	0.3148502652455588	0.4522448684795437	2	d	d	II	1	f	0	0	rempl	военный		135460	воен	cDent	n
сбор	43663	slave	#с сб бо ор р#	-0.5558221953337156	0	0	0	a	0.1257819035025895	0.1798310831965765	0.2519540807054384	0.410119475661636	1	d	a	I	1	m	0	0	0	сборный		127837	сбор	cDent	n
финансы	21752	autre	#ф фи ин на ан нс сы ы#	-1.9383892206117683	0	0	0	a	0.2174649180073277	0.318061259228563	0.3072705067894037	0.4165559619114005	3	ad	a	I	1	m	0	0	0	финансовый		121739	финанс	cDent	Ov
лето	89670	slave	#л ле ет то о#	0.3897365205181032	0	0	0	a	0.2257895788888026	0.2074323013690643	0.2420196915371252	0.6069961314936604	2	ad	a	I	1	n	0	0	0	летний		114589	лет	cDent	n
город	483643	slave	#г го ор ро од д#	-0.440582021151948	0	0	c	0	0.4189084811765863	0.2402005117198749	0.4964449483190208	0.288894012845924	2	ad	c	I	1	m	0	0	0	городской		95647	город	cDent	sk
свобода	94592	slave	#с св во об бо од да а#	3.7645139547597193	0	0	0	a	0.2061959009393363	0.319737265572838	0.269262715847543	0.4882952054815524	3	ad	a	II	1	f	0	0	0	свободный		93853	свобод	cDent	n
народ	199926	slave	#н на ар ро од д#	0.5846093489736353	0	0	0	a	0.3191717507294656	0.4768965338563351	0.3328088362514932	0.4667026051902703	2	d	a	I	1	m	0	0	0	народный		75897	народ	cDent	n
различие	16014	slave	#р ра аз зл ли ич чи ие е#	2.8409361283695382	0	0	0	a	0.1765968114691745	0.2796712825667267	0.3812644245553398	0.5027195011979109	4	aad	a	I	7	n	0	0	supp	различный		74739	различ	cAlv	n
длина	25730	slave	#д дл ли ин на а#	0.6762182916863662	0	0	0	a	0.1442947170341017	0.2948007088781489	0.4187251716934991	0.5285617920775583	2	d	d	II	1	f	0	0	0	длинный		72739	длин	cDent	n
француз	30685	autre	#ф фр ра ан нц цу уз з#	-1.5916330934282512	0	h	0	0	0.4758833690263011	0.6292562647048573	0.434794282659482	0.3748127139467335	2	d	a	I	1	m	0	0	0	французский		71577	француз	cDent	sk
север	31061	slave	#с се ев ве ер р#	-0.950273247504157	0	0	c	0	0.3854152648048347	0.2647876055932021	0.821625276223782	0.4100830015757487	2	ad	a	I	1	m	0	0	0	северный		70567	север	cDent	n
способ	74849	slave	#с сп по ос со об б#	1.916598201785094	0	0	0	a	0.1737995355443372	0.3340444186700642	0.476688494586944	0.5572623586506399	2	ad	a	I	1	m	0	0	0	способный		69809	способ	cLab	n
часть	329220	slave	#ч ча ас ст ть ь#	0.1410499094483104	0	0	0	a	0.2645942737955639	0.2382596075507027	0.4108162778711763	0.3585200426858788	1	d	e	III	8	f	0	mouil	0	частный		69686	част	cDent	n
юг	30653	slave	#ю юг г#	-0.2940654665566377	0	0	c	0	0.3751684661193042	0.260191816207359	0.809150237378639	0.3913495819831412	1	d	c	I	3	m	0	palat	0	южный		69286	юж	cAlv	n
основа	52350	slave	#о ос сн но ов ва а#	2.903509614254016	0	0	0	a	0.143070700544175	0.2467970802993943	0.3618740269795998	0.4284372150502481	3	ad	a	II	1	f	0	0	0	основный		67409	основ	cLab	n
запад	33188	slave	#з за ап па ад д#	0.7580292724113202	0	0	c	0	0.369946154420573	0.2444058767256533	0.811578305838865	0.4150498640423999	2	ad	a	I	1	m	0	0	0	западный		61932	запад	cDent	n
явь	1671	slave	#я яв вь ь#	0.1008745599835026	0	0	0	a	0.277538962380232	0.286843854308547	0.3645253520363901	0.4460795568235595	1	d	a	III	8	f	0	mouil	0	явный		59280	яв	cLab	n
конкретика	876	autre	#к ко он нк кр ре ет ти ик ка а#	0.1437794099029345	0	0	0	a	0.2417084118721367	0.2661821921992639	0.3432134770008425	0.4549109736687524	4	aad	a	II	3	f	0	0	supp	конкретный		58909	конкрет	cDent	n
железо	19752	slave	#ж же ел ле ез зо о#	1.2331143311932231	0	0	c	0	0.1691591403850969	0.3305414722091902	0.6790861190730653	0.4135999631073211	3	ad	a	I	1	n	0	0	0	железный		58082	желез	cDent	n
гражданин	43207	slave	#г гр ра аж жд да ан ни ин н#	-1.3544691923062102	0	h	0	0	0.2215590784642158	0.4190098745598415	0.320714942988446	0.3929556831015427	3	d	a	I	1	m	0	0	supp	гражданский		57973	граждан	cDent	sk
англия	26414	autre	#а ан нг гл ли ия я#	-4.426340213762152	p	0	0	0	0.6373702602673404	0.4429807016757451	0.3078894032277776	0.2709010954102169	3	aad	a	II	7	f	0	0	0	английский		56107	англиj	cAlv	sk
случай	386513	slave	#с сл лу уч ча ай й#	0.8454775482468356	0	0	0	a	0.1612665393089375	0.3139093115743716	0.3894138415201242	0.5113851497304729	2	ad	a	I	6	m	0	0	0	случайный		56022	случаj	cAlv	n
абсолют	1569	autre	#а аб бс со ол лю ют т#	-1.554001935864194	0	0	0	a	0.2775184030673553	0.2770101919320115	0.2531022163922788	0.4745112641682231	3	d	a	I	1	m	0	0	0	абсолютный		55633	абсолют	cDent	n
наука	96301	slave	#н на ау ук ка а#	3.757889378824313	0	0	0	a	0.2374277210847216	0.3364542922134767	0.3536547882176264	0.5210242674941844	3	ad	a	II	3	f	0	palat	0	научный		55381	науч	cAlv	n
торг	22304	slave	#т то ор рг г#	-1.04219213042306	0	0	0	a	0.2765553255630323	0.316311297449965	0.4216407231125029	0.3958075006785423	1	d	a	I	3	m	0	0	0	торговый		54522	торг	cVel	Ov
бой	70115	slave	#б бо ой й#	-0.0622228355257362	0	0	0	a	0.3608409480040754	0.4040417311803024	0.4621716254710312	0.5391560883460385	1	d	c	I	6	m	0	0	0	боевой		54329	боj	cAlv	Ov
украина	17427	slave	#у ук кр ра аи ин на а#	1.6062426077339071	p	0	0	0	0.5859470523273751	0.2710481458292197	0.2005312903253941	0.2595499665410599	4	aad	a	II	1	f	0	0	0	украинский		52020	украин	cDent	sk
масса	67642	autre	#м ма ас сс са а#	0.9321858863295798	0	0	0	a	0.1894576626521355	0.2904998551084752	0.4553259983462781	0.4863318334865239	2	ad	a	II	1	f	0	0	0	массовый		51379	масс	cDent	Ov
море	93175	slave	#м мо ор ре е#	0.9763124322110446	0	0	c	0	0.3987919255129561	0.3646062727532199	0.5174808229820906	0.34896147371152	2	ad	c	I	2	n	0	0	0	морской		49339	мор	cDent	sk
успех	88621	slave	#у ус сп пе ех х#	0.3746368760340008	0	0	0	a	0.181364224381493	0.2519379941140069	0.2228869772508938	0.4509823476079013	2	d	a	I	3	m	0	palat	0	успешный		49324	успеш	cAlv	n
