Nom	FreqN	SourceN	BigramN	Score_etym	ClSem_p	ClSem_h	ClSem_c	ClSem_a	Score_p	Score_h	Score_c	Score_a	SyllN	AccSyllN	AccZal	ClFlex	ClFlexZal	Genre	AllomV	AllomC	Segment	Adjectif	Context	FreqA	Radical	DPhoR	SuffDerA
абракадабра	380	autre	#а аб бр ра ак ка ад да аб бр ра а#	1.2288609916929008	0	0	0	a	0.2331594603578545	0.2942679326161856	0.3936748038971254	0.4929416072785854	5	ad	a	II	1	f	0	0	0	абракадабровый	"Эдуард Лимонов. У нас была Великая Эпоха (1987)   [омонимия снята]  Все примеры (1)
           Отец, приличный, заменял матерные слова на абракадабровые скороговорочные.  [Эдуард Лимонов. У нас была Великая Эпоха (1987)]  [омонимия снята]  ←…→"	1	абракадабр	cDent	Ov
абрау	67	autre	#а аб бр ра ау у#	-1.275126872297633	p	0	0	0	0.3628848332949623	0.2680684509155979	0.3944629849841585	0.2225811416879872	3	ad	0	I	0	m	0	0	0	абрауский	"Правительство учредило заповедник на месте заказника 'Большой Утриш' // РИА Новости, 2010.09.08   [омонимия не снята]  Все примеры (1)
           Согласно документу, в территорию заповедника общей площадью более 10 тысяч гектаров включены земли лесного фонда в Анапе и Новороссийске (площадью 9,225 тысячи гектаров), а также два участка водного фонда площадью 783 гектара, примыкающие к юго-западному побережью Абрауского полуострова между водотоками Широкая Щель и Водопадная Щель.  [Правительство учредило заповедник на месте заказника 'Большой Утриш' // РИА Новости, 2010.09.08]  [омонимия не снята]  ←…→"	1	абрау	Vow	sk
аватар	643	autre	#а ав ва ат та ар р#	-3.2042902379057177	p	0	0	0	0.4362680198960263	0.3401261305021713	0.312845998469184	0.3224900298813963	3	d	a	I	1	m	0	0	0	аватарский	"Анна БАЛУЕВА. «Кот  в сапогах» – набор выборных технологий // Комсомольская правда, 2013.09.08   [омонимия не снята]  Все примеры (1)
           Во-вторых, здесь красивые новенькие костюмы и декорации, в-третьих, чуть ли не аватарские спецэффекты (для театра―круто), от которых дети замирают как суслики в грозу.  [Анна БАЛУЕВА. «Кот  в сапогах» – набор выборных технологий // Комсомольская правда, 2013.09.08]  [омонимия не снята]  ←…→"	1	аватар	cDent	sk
авеню	861	autre	#а ав ве ен ню ю#	-0.0966689939114309	0	0	c	0	0.4497566566380852	0.2341492518897458	0.4476479854866904	0.3023207349837312	3	d	0	I	0	f	0	0	ajout	авенюшный	"Татьяна Соломатина. Сонина Америка (2010)   [омонимия не снята]  Все примеры (1)
           И главное ― ни тебе лавочек бруклайновских, ни супермаркетов авенюшных на каждом углу.  [Татьяна Соломатина. Сонина Америка (2010)]  [омонимия не снята]  ←…→"	1	авенюш	cAlv	n
агасфер	7	autre	#а аг га ас сф фе ер р#	-2.842885005380383	p	0	0	0	0.3684766141386872	0.328085084132934	0.2902398475419779	0.2641862498891192	3	d	a	I	1	m	0	0	0	агасферский	"Дмитрий Быков. Орфография (2002)   [омонимия не снята]  Все примеры (1)
            ― Историка чем же удивишь, ― произнес он так, словно тысячу раз уже переживал подобные перевороты, и не во сне, а наяву, в своих агасферских странствиях.  [Дмитрий Быков. Орфография (2002)]  [омонимия не снята]  ←…→"	1	агасфер	cDent	sk
агафон	980	autre	#а аг га аф фо он н#	-2.586662839273879	p	0	0	0	0.4706413915968989	0.4182429041801299	0.3229344317815531	0.3140203861950047	3	d	a	I	1	m	0	0	0	агафонский	"неизвестный. За границей. Телеграммы наших корреспондентов (1909.01.03) // «Русское слово», 1909   [омонимия не снята]  Все примеры (1)
           Бухарест, 20, XII- 2, I. Печать занята сенсационным разоблачением церковного органа, обвиняющего митрополита молдавского в изнасиловании девушки в Агафонском монастыре в Яссах.  [неизвестный. За границей. Телеграммы наших корреспондентов (1909.01.03) // «Русское слово», 1909]  [омонимия не снята]  ←…→"	1	агафон	cDent	sk
агд	142	autre	#а аг гд д#	-1.1554986610309734	p	0	0	0	0.615456324368358	0.3324175144939847	0.1864886595465086	0.2002931109281204	1	d	a	I	1	m	0	0	0	агдский	"Кондратий Биркин (П. П. Каратыгин). Временщики и фаворитки XVI, XVII и XVIII столетий. Книга третья (1871)   [омонимия не снята]  Все примеры (1)
           В течение дня той же участи подверглись все приближенные опального и его родственники: де Бетюнь, его зять, архиепископ нарбонский, епископ агдский, братья Фуке аббат и шталмейстер были отправлены в ссылку.  [Кондратий Биркин (П. П. Каратыгин). Временщики и фаворитки XVI, XVII и XVIII столетий. Книга третья (1871)]  [омонимия не снята]  ←…→"	1	агд	cDent	sk
агломерат	118	autre	#а аг гл ло ом ме ер ра ат т#	-3.2614893721121088	0	0	c	0	0.183962480603572	0.2088830080079751	0.6295032010773627	0.4328351616443534	4	d	a	I	1	m	0	0	0	агломератный	"обобщенный. Консультации // «Химия и жизнь», 1970   [омонимия не снята]  Все примеры (1)
           Намажьте на гладкую поверхность (например, на стекло) миллиметровый слой агломератной массы и ножом разделите ее на брикеты (21x27 мм).  [обобщенный. Консультации // «Химия и жизнь», 1970]  [омонимия не снята]  ←…→"	1	агломерат	cDent	n
агония	1364	autre	#а аг го он ни ия я#	-3.324826193232267	0	0	0	a	0.2040268973708974	0.2801963936350662	0.3806893306561489	0.4235299620758077	4	ad	a	II	7	f	0	0	supp	агоневый	"А. А. Ачаир. Барабанная дробь (1932)   [омонимия не снята]  Все примеры (1)
           Не сердце ли его таит Агоневую Русь,  Страну мою?  [А. А. Ачаир. Барабанная дробь (1932)]  [омонимия не снята]  ←…→"	1	агон	cDent	Ov
адажио	152	autre	#а ад да аж жи ио о#	-0.5423827814429668	0	0	0	a	0.3840004890918561	0.2685456253346766	0.4326115869009307	0.4987201456500741	4	aad	0	I	0	n	0	0	rempl	адажийный	"С. Д. Кржижановский. Чужая тема (1929-1930)   [омонимия не снята]  Все примеры (1)
           И когда, ― дело было в одном из замоскворецких переулков, ― когда раскрытое окно обронило в тьму первые адажийные такты, я оборвал шаг, как над обрывом, и стал слушать.  [С. Д. Кржижановский. Чужая тема (1929-1930)]  [омонимия не снята]  ←…→"	1	адажиj	cAlv	n
