Nom	FreqN	SourceN	BigramN	Score_etym	ClSem_p	ClSem_h	ClSem_c	ClSem_a	Score_p	Score_h	Score_c	Score_a	SyllN	AccSyllN	AccZal	ClFlex	ClFlexZal	Genre	AllomV	AllomC	Segment	Adjectif	Context	FreqA	Radical	DPhoR	SuffDerA
конец	318183	slave	#к ко он не ец ц#	-1.068872324215436	0	0	c	0	0.2158195412994595	0.2164212074832129	0.4513770012008946	0.2917483734732131	2	d	b	I	5	m	1	palat	0	конечный		304080	конеч	cAlv	n
сила	339048	slave	#с си ил ла а#	1.6212762365807885	0	0	0	a	0.261192569178107	0.3112823133743381	0.3936740031656812	0.4775113161936501	2	ad	a	II	1	f	0	mouil	0	сильный		217842	сил	cDent	n
род	96302	slave	#р ро од д#	0.6737281353734321	0	0	0	a	0.2378186135880637	0.3612337025090766	0.3189882799083487	0.4308110332035505	1	d	c	I	1	m	0	0	0	родной		198410	род	cDent	n
страх	61244	slave	#с ст тр ра ах х#	-0.1000901144208473	0	0	0	a	0.2203154150588019	0.4037020969039546	0.4416601179257394	0.6351492477013583	1	d	a	I	3	m	0	0	0	страшный		155748	страш	cAlv	n
труд	168493	slave	#т тр ру уд д#	-0.2889888732274439	0	0	0	a	0.2120761216035501	0.2682247741287452	0.3388990752257854	0.4223192789528301	1	d	b	I	1	m	0	0	0	трудный		114185	труд	cDent	n
вид	284308	slave	#в ви ид д#	0.5070336306555693	0	0	0	a	0.1702161690214357	0.390366880689119	0.4449579223463721	0.507165759347654	1	d	a	I	1	m	0	0	0	видный		104632	вид	cDent	n
мир	249467	slave	#м ми ир р#	-1.7462845235307611	0	0	c	a	0.3112412014556541	0.2838011903092543	0.3543096101094071	0.3315740204971654	1	d	c	I	1	m	0	0	0	мировой		75067	мир	cDent	Ov
край	103306	slave	#к кр ра ай й#	-0.927287960240501	0	0	c	a	0.3879819626589179	0.2860188656247853	0.4081048957556566	0.2775754162422252	1	d	c	I	6	m	0	0	0	крайний		63260	краj	cAlv	n
низ	5878	slave	#н ни из з#	0.5971305553718603	0	0	c	0	0.2065617040745856	0.2021423257209177	0.405605587820482	0.3032502525730082	1	d	c	I	1	m	0	palat	0	нижний		56672	ниж	cAlv	n
век	137282	slave	#в ве ек к#	1.150012232596673	0	0	0	a	0.2997484860300268	0.3392871230101717	0.2576947206569475	0.3282868523726306	1	d	c	I	3	m	0	palat	0	вечный		56012	веч	cAlv	n
даль	38544	slave	#д да ал ль ь#	-1.275534034977222	0	0	0	a	0.2795612091368455	0.266843758660683	0.4781665431602919	0.5489806999820113	1	d	a	III	8	f	0	0	0	дальний		43656	дал	cDent	n
боль	37359	slave	#б бо ол ль ь#	-0.5233907339036007	0	0	0	a	0.142628270715329	0.2609601729494925	0.4798504973917796	0.5855638245295305	1	d	a	III	8	f	0	0	0	больной		41674	бол	cDent	n
мир	410731	slave	#м ми ир р#	-1.7462845235307611	0	0	c	a	0.3112412014556541	0.2838011903092543	0.3543096101094071	0.3315740204971654	1	d	c	I	1	m	0	0	0	мирный		38421	мир	cDent	n
литература	61231	autre	#л ли ит те ер ра ат ту ур ра а#	-1.5176523989707504	0	0	0	a	0.3449713516703047	0.4217557062536516	0.4742697967636486	0.5408435453552611	5	ad	a	II	1	f	0	0	0	литературный		36300	литератур	cDent	n
земля	235149	slave	#з зе ем мл ля я#	-0.3322558092852924	p	0	c	0	0.3382603216078359	0.3811090539955076	0.4598140174194818	0.3971691491002528	2	d	d	II	2	f	1	0	supp	земной		33538	зем	cLab	n
зима	60945	slave	#з зи им ма а#	1.4195290185001357	0	0	0	a	0.2929837094320911	0.2918603473405915	0.4140841609764048	0.6123788467130782	2	d	d	II	1	f	0	0	0	зимний		31035	зим	cLab	n
воля	73630	slave	#в во ол ля я#	0.653000888672237	0	0	0	a	0.2482691998690272	0.3583831699959799	0.3319442833828759	0.4705725456080474	2	ad	a	II	2	f	0	0	0	вольный		29663	вол	cDent	n
